symbol,trade_date,open,close,high,low,pre_close,change,change_percent,volume,amount,turnover_rate,volume_ratio,bid_ratio,bid_diff,buy_volume,sell_volume,total_market_cap,circ_market_cap,main_net_inflow,xlarge_inflow,xlarge_outflow,xlarge_net_inflow,large_inflow,large_outflow,large_net_inflow,mid_inflow,mid_outflow,mid_net_inflow,small_inflow,small_outflow,small_net_inflow,main_net_flow_ratio,xlarge_net_flow_ratio,large_net_flow_ratio,mid_net_flow_ratio,small_net_flow_ratio,total_stocks,trading_stocks,up_stocks,down_stocks,flat_stocks,limit_up_stocks,limit_down_stocks,pe,pb,median_pe,median_pb,leader_up_symbol,leader_up_change,leader_down_symbol,leader_down_change,data_source,created_at
BK0440,2026-09-01T00:00:00Z,4906003,4937719,4943677,4906003,4901436,36283,0.74,7668870,8167280621,2.67,1.15,0.00,0,3261877,4406993,473182016000,390543472000,-65079984,527578320,510414912,17163408,1402688096,1484931488,-82243392,2489736448,2515991008,-26254560,3399370928,3294512048,104858880,-0.80,0.21,-1.01,-0.32,1.28,0,77,47,30,0,0,0,51.00,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-09-01T19:17:05+08:00
BK0447,2026-09-01T00:00:00Z,2886911,2926476,2936726,2885881,2883112,43364,1.50,50856881,73150173993,4.90,1.59,0.00,0,26418814,24438067,1849150160000,1602261536000,209437184,8518688256,7893563136,625125120,16693582592,17109270528,-415687936,22622802944,23673188352,-1050385408,23897652480,23046329600,851322880,0.29,0.85,-0.57,-1.44,1.16,0,146,106,39,1,0,0,96.33,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-09-01T19:17:05+08:00
BK0448,2026-09-01T00:00:00Z,2431124,2410697,2432058,2386780,2432160,-21463,-0.88,21310733,140671395572,4.39,0.84,0.00,0,10063163,11247571,4264760304000,3702394480000,-1712340480,24855564288,24768099840,87464448,34538644480,36338449408,-1799804928,45581500672,48075945984,-2494445312,33088118528,28978526464,4109592064,-1.22,0.06,-1.28,-1.77,2.92,0,91,37,52,2,0,0,68.08,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-09-01T19:17:05+08:00
BK0450,2026-09-01T00:00:00Z,1237122,1251255,1260771,1236094,1238117,13138,1.06,14783985,10830573216,0.92,1.08,0.00,0,8015391,6768595,1264632928000,1099992832000,-201147072,907671248,1031987472,-124316224,2292139568,2368970416,-76830848,3235568976,3130241520,105327456,4184436560,4072747648,111688912,-1.86,-1.15,-0.71,0.97,1.03,0,37,28,8,1,0,0,13.04,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-09-01T19:17:05+08:00
BK0451,2026-09-01T00:00:00Z,1379099,1393167,1403761,1379099,1393848,-681,-0.05,43434986,18702713145,2.24,1.15,0.00,0,20494796,22940190,870609440000,823528032000,-299038608,1611416160,1857441952,-246025792,4112863344,4165876160,-53012816,5638028800,5461488640,176540160,6579783680,6457285120,122498560,-1.60,-1.32,-0.28,0.94,0.65,0,90,51,33,6,0,0,-4.55,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-09-01T19:17:05+08:00
BK0454,2026-09-01T00:00:00Z,2204848,2188288,2204848,2167869,2205000,-16712,-0.76,11141278,22150691079,3.70,1.02,0.00,0,5354183,5787096,679015504000,546511888000,-570211072,1716182448,2143964592,-427782144,4575609344,4718038272,-142428928,7103572480,6899474944,204097536,8266116096,7890977024,375139072,-2.57,-1.93,-0.64,0.92,1.69,0,77,31,44,2,0,0,71.66,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-09-01T19:17:05+08:00
BK0456,2026-09-01T00:00:00Z,2367868,2377847,2385704,2364632,2366429,11418,0.48,17367641,21833765034,2.16,1.25,0.00,0,8380975,8986666,2004339504000,1769379808000,-274900976,1795932496,1829314368,-33381872,4535298560,4776817664,-241519104,6992085248,6953270528,38814720,7822431744,7594887680,227544064,-1.26,-0.15,-1.11,0.18,1.04,0,108,67,37,4,0,0,18.65,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-09-01T19:17:05+08:00
BK0457,2026-09-01T00:00:00Z,3626697,3635530,3647688,3611150,3626989,8541,0.24,22240998,33279015130,2.36,0.92,0.00,0,10608484,11632514,1617328720000,1479979552000,-1018910368,2350817088,2832809952,-481992864,6315040000,6851957504,-536917504,10670744320,10724104960,-53360640,13161015296,12042732800,1118282496,-3.06,-1.45,-1.61,-0.16,3.36,0,143,78,62,3,0,0,34.63,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-09-01T19:17:05+08:00
BK0458,2026-09-01T00:00:00Z,2197762,2173966,2197762,2156673,2196310,-22344,-1.02,2962160,13617741478,2.00,0.78,0.00,0,1380838,1581322,714738752000,407234048000,-204315280,1790329616,1972085072,-181755456,3939647184,3962207008,-22559824,4149289040,4181692736,-32403696,3440676000,3194581488,246094512,-1.50,-1.33,-0.17,-0.24,1.81,0,65,22,41,2,0,0,150.71,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-09-01T19:17:05+08:00
BK0459,2026-09-01T00:00:00Z,5859594,5661567,5859594,5619366,5850061,-188494,-3.22,17942319,101305813323,4.84,1.01,0.00,0,7949448,9992871,3181133952000,2736610128000,-6997475840,12573949696,16406669312,-3832719616,22329015040,25493771264,-3164756224,32346111744,30755773440,1590338304,32198427392,26797515264,5400912128,-6.91,-3.78,-3.12,1.57,5.33,0,67,8,59,0,0,0,66.06,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-09-01T19:17:05+08:00
BK0464,2026-09-01T00:00:00Z,688272,687620,694817,686192,686931,689,0.10,19134961,18473778893,0.52,1.05,0.00,0,9423055,9711905,5359732224000,3367961440000,-438977456,1564569104,1954771680,-390202576,4230882608,4279657488,-48774880,5586816256,5698307840,-111491584,6713444096,6180253440,533190656,-2.38,-2.11,-0.26,-0.60,2.89,0,49,26,17,6,0,0,13.65,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-09-01T19:17:05+08:00
BK0465,2026-09-01T00:00:00Z,3607508,3657776,3668831,3602993,3615761,42015,1.16,32954886,37279659360,3.23,0.90,0.00,0,17553269,15401617,2331931168000,1698425328000,179792576,2821966000,2899249392,-77283392,8256354560,7999278592,257075968,12415496960,12288117760,127379200,12862662400,13121086208,-258423808,0.48,-0.21,0.69,0.34,-0.69,0,160,116,41,3,0,0,51.09,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-09-01T19:17:05+08:00
